"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 11:58:32 AEST 2024","Sat Aug 31 11:58:41 AEST 2024","8980","","Login to HRM Application","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Aug 31 11:58:23 AEST 2024","Sat Aug 31 11:58:32 AEST 2024","9057","","Login to HRM Application","","Login with valid credentials","","Login with valid credentials",""
